model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q05,q95,q10,q90
zoo_cnn,Zoo CNN,240,crps,crps,play,100,0.013106233464402452,0.000373595250441007,3.7359525044100705e-05,0.013085888020675649,0.00047954868967272496,0.012571091468992006,0.013656313413615746,0.01267717080789282,0.01351155933102291
lightgbm_multiclass,LightGBM,360,crps,crps,play,100,0.013343954274302738,0.00027545613270227526,2.7545613270227527e-05,0.0133540233372334,0.00041252215000507457,0.012873963201797466,0.01379584951834436,0.01298751175472488,0.01364276580726062
ridge_sgd_l2,L2 one-vs-rest logistic,360,crps,crps,play,100,0.014224898578795537,0.00025216690846998073,2.5216690846998075e-05,0.0142124418724736,0.0003613201668352002,0.013815165547914395,0.01465250050529532,0.0139052649109046,0.014534069929148411
set_transformer,Set Transformer,360,crps,crps,play,100,0.012528037942038162,0.00025794266003418783,2.5794266003418783e-05,0.01252454505219505,0.00034072018555720077,0.012123256621373134,0.012959878881734265,0.01220152050712415,0.01289397639547302
zoo_cnn,Zoo CNN,360,crps,crps,play,100,0.012947139474537234,0.0004372666397238953,4.372666397238953e-05,0.012921057126404,0.0005677042639817501,0.012372388031283515,0.01371714884178678,0.01246989917707534,0.01350347558098145
lightgbm_multiclass,LightGBM,20,crps_game_equal,crps,game_equal,100,0.014174400080238332,0.0002786785382571427,2.7867853825714273e-05,0.01417950357167385,0.00035545606429600134,0.013743520542245225,0.01467529748988196,0.013803986596531731,0.01449905169077098
ridge_sgd_l2,L2 one-vs-rest logistic,20,crps_game_equal,crps,game_equal,100,0.014245051161934818,0.00025461669662656827,2.5461669662656828e-05,0.01423537527377995,0.00035854940242430015,0.01383063727703212,0.014682103098690365,0.01392192433549137,0.014606085179133069
set_transformer,Set Transformer,20,crps_game_equal,crps,game_equal,100,0.013862840051653695,0.00032777241417342667,3.277724141734267e-05,0.0138763918672682,0.0004334448891528987,0.013380115836353885,0.01436743230686994,0.013465587241074231,0.01428010472941205
zoo_cnn,Zoo CNN,20,crps_game_equal,crps,game_equal,100,0.01625983714550022,0.001187687327556551,0.00011876873275565512,0.0159891762670539,0.0008771347240579975,0.015189566647358165,0.01864916002750868,0.01528869971274723,0.017479568451360863
lightgbm_multiclass,LightGBM,40,crps_game_equal,crps,game_equal,100,0.013986466762512759,0.00028411288952153043,2.8411288952153044e-05,0.01399432449463515,0.0003905568638762,0.01349996946173784,0.01442231098799643,0.01359895459087684,0.01434497093632138
ridge_sgd_l2,L2 one-vs-rest logistic,40,crps_game_equal,crps,game_equal,100,0.014208101096213146,0.00025102462555993727,2.5102462555993726e-05,0.014204161006339248,0.00033586289041722533,0.013835152445976166,0.014589524032066745,0.01388053587318511,0.014543263950626729
set_transformer,Set Transformer,40,crps_game_equal,crps,game_equal,100,0.013614113841223043,0.00028700122588142896,2.8700122588142897e-05,0.0136118617445188,0.0003584729131807258,0.013159487301831065,0.014109652350032694,0.01323699325726644,0.0139805579130775
zoo_cnn,Zoo CNN,40,crps_game_equal,crps,game_equal,100,0.01520392744324757,0.0007714100742436223,7.714100742436223e-05,0.015066079546515749,0.0007837002738078271,0.01441313142748726,0.01613349863783498,0.01450903343873555,0.015868745111547972
lightgbm_multiclass,LightGBM,80,crps_game_equal,crps,game_equal,100,0.013787474458756695,0.0002862452004916408,2.8624520049164077e-05,0.01379652756586705,0.00037171178015104993,0.013287474425484764,0.01422242478208621,0.013421188542490171,0.014160061177900899
ridge_sgd_l2,L2 one-vs-rest logistic,80,crps_game_equal,crps,game_equal,100,0.014198001443239737,0.0002505414850750218,2.5054148507502178e-05,0.014162836814419849,0.00036701266427227423,0.013803872350803515,0.014575696394357315,0.013885137400852449,0.01451735830982641
set_transformer,Set Transformer,80,crps_game_equal,crps,game_equal,100,0.013280296083130132,0.00026670463165924085,2.6670463165924085e-05,0.0132582939109341,0.0003701825862688253,0.01285752027811745,0.013746165974508154,0.01293243023762875,0.01363985642281762
zoo_cnn,Zoo CNN,80,crps_game_equal,crps,game_equal,100,0.014201382186891627,0.0006163092101637539,6.16309210163754e-05,0.0140581249564986,0.000549498385912249,0.01356397128679726,0.015222681678776676,0.01364883406744413,0.01489397491338858
lightgbm_multiclass,LightGBM,160,crps_game_equal,crps,game_equal,100,0.013556193544882038,0.0002807501097922428,2.8075010979224282e-05,0.0135785300661506,0.00038672738278640144,0.013050514748606721,0.013938657582190764,0.01316477218759398,0.013891905088123201
ridge_sgd_l2,L2 one-vs-rest logistic,160,crps_game_equal,crps,game_equal,100,0.0141888453574416,0.0002511939441892555,2.511939441892555e-05,0.01416708451893775,0.0003561562773486994,0.013794702384960555,0.014550532730927724,0.013854027673405059,0.014525001561875191
set_transformer,Set Transformer,160,crps_game_equal,crps,game_equal,100,0.01283968702489491,0.000271030835745697,2.71030835745697e-05,0.01282859219482905,0.000342238370214399,0.012410362432489915,0.0132599473426381,0.01252586398140623,0.01320907957482118
zoo_cnn,Zoo CNN,160,crps_game_equal,crps,game_equal,100,0.013474805789647612,0.0005246871827907658,5.2468718279076584e-05,0.01344419296997945,0.0005485179440585016,0.01278469062548006,0.014325511073597056,0.012848650520372899,0.01411396065244117
lightgbm_multiclass,LightGBM,240,crps_game_equal,crps,game_equal,100,0.013426126846662834,0.0002769503936246376,2.769503936246376e-05,0.01343059628850475,0.00041048178042357546,0.01294614702105029,0.013849920776845345,0.013041978484699861,0.01375920257943274
