metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
mean_width_inclusive,40,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,2.3366490594916947,3.513255718633044,0.35132557186330443,1.7533111870872524,2.919986931896137,1.0747466011217193,3.59855151786167,0.9,3.591832076661254,10000
mean_q,40,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,-1.6568551586368372,0.17399276592177976,0.017399276592177975,-1.685744763611583,-1.6279655536620914,-1.7193504384113234,-1.594359878862351,0.9,3.591832076661254,10000
mean_q,40,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-1.4974790728882794,0.7629726882324658,0.07629726882324658,-1.6241623832706489,-1.37079576250591,-1.7715260504092631,-1.2234320953672957,0.9,3.591832076661254,10000
mean_q,40,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,-0.020936377601408377,0.2679735336772644,0.02679735336772644,-0.06543046613784347,0.023557710935026715,-0.11718797099723467,0.07531521579441793,0.9,3.591832076661254,10000
mean_q,40,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,0.15937608574855738,0.7652846615666145,0.07652846615666145,0.032308897358491157,0.2864432741386236,-0.11550131377062439,0.43425348526773916,0.9,3.591832076661254,10000
mean_q,40,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,1.6359187810354285,0.2823030685057699,0.02823030685057699,1.5890454292090848,1.6827921328617723,1.5345202593555363,1.7373173027153208,0.9,3.591832076661254,10000
mean_q,40,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,1.4765426952868714,0.8242147418095955,0.08242147418095955,1.3396908084909236,1.6133945820828193,1.1804986005179936,1.7725867900557493,0.9,3.591832076661254,10000
crps_game_equal,40,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.00022163433370038784,9.96325770746184e-05,9.963257707461839e-06,0.00020509142871780008,0.0002381772386829756,0.00018584798507868393,0.00025742068232209174,0.9,3.591832076661254,10000
crps_game_equal,40,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-0.000995826347034422,0.0007453105818293791,7.45310581829379e-05,-0.0011195770568899598,-0.0008720756371788842,-0.0012635293925234046,-0.0007281233015454395,0.9,3.591832076661254,10000
crps_game_equal,40,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.000593987254990105,0.00014361967211129362,1.4361967211129361e-05,0.0005701407716497398,0.0006178337383304703,0.0005424014804772134,0.0006455730295029966,0.9,3.591832076661254,10000
