metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
mean_width,zoo_cnn,20,tuned - fixed,20,-3.208558673339932,9.063943845962726,2.0267594583813535,-7.450614972231568,1.0334976255517039,-19.774730404728704,13.35761305804884,0.95,8.173723656688466,10000,22.629947278612185,19.421388605272256,-0.1417837449569481,False
mean_width_inclusive,zoo_cnn,20,tuned - fixed,20,-3.208558673339931,9.063943845962726,2.0267594583813535,-7.450614972231566,1.0334976255517048,-19.7747304047287,13.35761305804884,0.95,8.173723656688466,10000,23.629947278612185,20.421388605272256,-0.13578357308668415,False
mean_q,zoo_cnn,20,tuned - fixed,20,0.28342551809874755,1.017384270139579,0.2274940387271108,-0.19272497719158027,0.7595760133890754,-1.57604788800064,2.142898924198135,0.95,8.173723656688466,10000,2.3208679695632233,2.6042934876619706,0.12212048329146744,False
crps_game_equal,zoo_cnn,20,tuned - fixed,20,-0.0004995046384661509,0.0012027142431527394,0.0002689350805196736,-0.0010623922310680509,6.338295413574899e-05,-0.0026977056682232245,0.0016986963912909224,0.95,8.173723656688466,10000,0.016226236199018536,0.015726731560552383,-0.030783764783133386,False
coverage_game_equal,zoo_cnn,20,tuned - fixed,20,-0.007986907055477693,0.022909637966747616,0.005122750783355773,-0.0187089476697801,0.002735133558824713,-0.04985885632071215,0.033885042209756765,0.95,8.173723656688466,10000,0.934834147479104,0.9268472404236263,-0.008543662078471756,False
mean_width_game_equal,zoo_cnn,20,tuned - fixed,20,-3.2071161533859383,9.06362019550575,2.026687087939079,-7.449020979201066,1.034788672429189,-19.77269634877865,13.358464042006771,0.95,8.173723656688466,10000,22.644922285763514,19.437806132377574,-0.14162628217108958,False
mean_width_inclusive_game_equal,zoo_cnn,20,tuned - fixed,20,-3.2071161533859374,9.063620195505752,2.0266870879390795,-7.449020979201066,1.0347886724291908,-19.77269634877865,13.358464042006775,0.95,8.173723656688466,10000,23.64492228576351,20.437806132377574,-0.13563656985740766,False
crps,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.013591852556705511,0.013591852556705511,0.0,False
coverage,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.9151241080155887,0.9151241080155887,0.0,False
mean_width,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,13.957382127030565,13.957382127030565,0.0,False
mean_width_inclusive,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,14.957382127030565,14.957382127030565,0.0,False
mean_q,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,2.0566596236532124,2.0566596236532124,0.0,False
crps_game_equal,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.013533791052977334,0.013533791052977334,0.0,False
coverage_game_equal,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,0.9156534521404437,0.9156534521404437,0.0,False
mean_width_game_equal,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,13.976107542727828,13.976107542727828,0.0,False
mean_width_inclusive_game_equal,lightgbm_multiclass,160,tuned - fixed,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,8.173723656688466,10000,14.976107542727828,14.976107542727828,0.0,False
crps,ridge_sgd_l2,160,tuned - fixed,20,-0.00031401424228317203,2.2909679352697314e-05,5.122760037535457e-06,-0.00032473630226669513,-0.00030329218229964894,-0.0003558862671895139,-0.00027214221737683014,0.95,8.173723656688466,10000,0.014210000545766589,0.013895986303483415,-0.022098116131087867,True
coverage,ridge_sgd_l2,160,tuned - fixed,20,-0.009685942803970171,0.0022601873220424178,0.0005053932493970055,-0.010743743031893658,-0.008628142576046684,-0.013816887562497129,-0.005554998045443214,0.95,8.173723656688466,10000,0.9392496891282981,0.9295637463243279,-0.010312425882152308,True
mean_width,ridge_sgd_l2,160,tuned - fixed,20,-2.916076283538666,0.21039595408835998,0.04704596555324977,-3.0145446211044806,-2.817607945972852,-3.3006170051330144,-2.531535561944318,0.95,8.173723656688466,10000,21.72588842902224,18.809812145483576,-0.13422126754748792,True
mean_width_inclusive,ridge_sgd_l2,160,tuned - fixed,20,-2.916076283538666,0.21039595408835998,0.04704596555324977,-3.0145446211044806,-2.817607945972852,-3.3006170051330144,-2.531535561944318,0.95,8.173723656688466,10000,22.72588842902224,19.809812145483576,-0.12831517204030063,True
