task_id,model,metric,from_n_train,to_n_train,definition,repeats,change_mean,change_sd,change_mcse,change_median,change_q10,change_q25,change_q75,change_q90,change_iqr
bdb2023_sack,attn_relnet,game_equal_label0_set_coverage,20,60,value_at_largest_minus_value_at_20,100,-0.0013344927607992186,0.09225800818250385,0.009225800818250385,-0.013636793808305514,-0.10440302055707676,-0.058556344328386384,0.044432124487522706,0.12201913906969905,0.10298846881590909
bdb2023_sack,boosted_structure,game_equal_label0_set_coverage,20,60,value_at_largest_minus_value_at_20,100,-0.008056796819844442,0.08412041716089212,0.008412041716089213,-0.01694811939237212,-0.10609400702909563,-0.062020159140630776,0.033616623216718405,0.09665072489375094,0.09563678235734918
bdb2023_sack,linear_structure,game_equal_label0_set_coverage,20,60,value_at_largest_minus_value_at_20,100,-0.010890752161800908,0.07393186216848265,0.0073931862168482645,-0.011069980759265352,-0.10875617908767184,-0.05696745886706242,0.03170547432012025,0.08052684389539479,0.08867293318718267
bdb2023_sack,relnet,game_equal_label0_set_coverage,20,60,value_at_largest_minus_value_at_20,100,-0.0007577081989890821,0.09188552503833786,0.009188552503833786,-0.007109185938743323,-0.10306012506133547,-0.05670325127901707,0.044339776793305585,0.12083171370939015,0.10104302807232265
bdb2023_sack,set_transformer,game_equal_label0_set_coverage,20,60,value_at_largest_minus_value_at_20,100,-0.019627654223870247,0.07837017537340951,0.007837017537340951,-0.010234068640503358,-0.1173712468938925,-0.06475362720574909,0.03020766052394322,0.07201996487832865,0.09496128772969231
bdb2023_sack,attn_relnet,game_equal_label1_set_coverage,20,60,value_at_largest_minus_value_at_20,100,0.009971201814058958,0.08354644296028088,0.008354644296028089,0.00787981859410436,-0.07347619047619056,-0.05007086167800462,0.06927437641723369,0.10500000000000002,0.11934523809523831
bdb2023_sack,boosted_structure,game_equal_label1_set_coverage,20,60,value_at_largest_minus_value_at_20,100,0.005902919501133773,0.08153058303199029,0.00815305830319903,0.01179138321995471,-0.10007851473922881,-0.049036281179138164,0.06047335600907017,0.10257142857142845,0.10950963718820833
bdb2023_sack,linear_structure,game_equal_label1_set_coverage,20,60,value_at_largest_minus_value_at_20,100,0.0006316609977324073,0.06861870973708291,0.006861870973708291,-0.00267857142857153,-0.07610119047619045,-0.03758857709750563,0.04026573129251701,0.09892290249433107,0.07785430839002264
bdb2023_sack,relnet,game_equal_label1_set_coverage,20,60,value_at_largest_minus_value_at_20,100,0.010925510204081626,0.08646546679266871,0.008646546679266872,0.0027040816326528994,-0.08407482993197275,-0.04893707482993184,0.07023384353741488,0.1060317460317461,0.11917091836734672
bdb2023_sack,set_transformer,game_equal_label1_set_coverage,20,60,value_at_largest_minus_value_at_20,100,0.004564824263038556,0.08633975866260174,0.008633975866260173,-0.0043083900226758565,-0.08382653061224486,-0.04263180272108846,0.04468537414965992,0.1271655328798187,0.08731717687074839
bdb2023_sack,attn_relnet,game_equal_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0008517465089794868,0.003744838232019597,0.0003744838232019597,-0.00025325949561908964,-0.001290648593250089,-0.0008936627428044082,0.0002087212861766937,0.000458902661904901,0.001102384028981102
bdb2023_sack,boosted_structure,game_equal_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0013232369201101562,0.0008763619675782775,8.763619675782775e-05,-0.0012775212894304763,-0.0022808712636229965,-0.001897149360466803,-0.0007833014213263472,-0.0003248886973548843,0.0011138479391404558
bdb2023_sack,linear_structure,game_equal_loss,20,60,value_at_largest_minus_value_at_20,100,-0.00037026224183310384,0.0007451645885159403,7.451645885159403e-05,-0.00027047299199250627,-0.0014021185214238897,-0.000626681747981344,4.151949390983345e-06,0.0002296653939660542,0.0006308336973723273
bdb2023_sack,relnet,game_equal_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0005024197647066418,0.0011032222191455306,0.00011032222191455305,-0.00021299731940122024,-0.0014144319560152627,-0.0008433833874552845,0.00020883433407311268,0.00047384950738132856,0.0010522177215283972
bdb2023_sack,set_transformer,game_equal_loss,20,60,value_at_largest_minus_value_at_20,100,-0.0016190367939862122,0.005336544258114127,0.0005336544258114127,-0.0005215989488523143,-0.0026514791256439956,-0.0011872488587909638,4.3777943451207835e-05,0.0003777943566834135,0.0012310268022421716
bdb2023_sack,attn_relnet,game_equal_mean_entropy,20,60,value_at_largest_minus_value_at_20,100,-6.591975674730077e-05,0.005329456874332524,0.0005329456874332524,-9.73884471253822e-05,-0.006573285330124514,-0.0034352391553297834,0.0029638842737926135,0.006381570270485971,0.006399123429122397
bdb2023_sack,boosted_structure,game_equal_mean_entropy,20,60,value_at_largest_minus_value_at_20,100,0.00022704747730982995,0.005057072679999285,0.0005057072679999286,0.000636473126413073,-0.00606434339810706,-0.0027282398560443677,0.0036822821720221832,0.0070312637329437945,0.006410522028066551
bdb2023_sack,linear_structure,game_equal_mean_entropy,20,60,value_at_largest_minus_value_at_20,100,-0.0010413971963637659,0.005470335657429133,0.0005470335657429133,-0.0013895611870824581,-0.007766196960926014,-0.004352642136207126,0.0019502432510881546,0.006801908154274699,0.00630288538729528
bdb2023_sack,relnet,game_equal_mean_entropy,20,60,value_at_largest_minus_value_at_20,100,-4.971122576796022e-05,0.005114004504823872,0.0005114004504823872,-0.0007272937517799893,-0.005303364269953292,-0.003616822610969829,0.0033014957653910992,0.006757472913946203,0.006918318376360928
bdb2023_sack,set_transformer,game_equal_mean_entropy,20,60,value_at_largest_minus_value_at_20,100,-0.0002777918760688608,0.005912541595334346,0.0005912541595334347,-2.7836288610860738e-05,-0.007126101531352752,-0.003186192362059158,0.003367677322185736,0.006743607202225985,0.006553869684244894
bdb2023_sack,attn_relnet,game_equal_mean_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.00039984436892616273,0.0019702914220031758,0.0001970291422003176,0.0003229318133972114,-0.002201922274859152,-0.0009632472922875876,0.0019813122735082207,0.0030025399795252997,0.002944559565795808
bdb2023_sack,boosted_structure,game_equal_mean_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.0004332017470006763,0.0019080038610716035,0.00019080038610716035,0.0004470511029422853,-0.0019032292580141393,-0.0008126647829124268,0.0017373993529305207,0.0030727678480293457,0.0025500641358429475
bdb2023_sack,linear_structure,game_equal_mean_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.0008577565274993267,0.00200893980646567,0.000200893980646567,0.0007705934270920952,-0.0015663372547906939,-0.00033808262856584257,0.0021700693797197454,0.003402049062796618,0.002508152008285588
bdb2023_sack,relnet,game_equal_mean_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.0003902598241890808,0.002016457548959836,0.0002016457548959836,0.00023519230745680563,-0.002186346483495896,-0.0009094892216386129,0.001938434192474572,0.002938154307281979,0.002847923414113185
bdb2023_sack,set_transformer,game_equal_mean_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.0007592796243782833,0.002204846079316389,0.00022048460793163888,0.0008691346033621555,-0.002254822544548755,-0.0009967564842339252,0.00246265030569695,0.0034431328702002216,0.0034594067899308754
bdb2023_sack,attn_relnet,game_equal_p90_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.0013281296751023893,0.006528860844714169,0.0006528860844714169,0.0010389374508917894,-0.005997656310179311,-0.0030422860407582695,0.004938580043597336,0.009731965273755817,0.007980866084355605
bdb2023_sack,boosted_structure,game_equal_p90_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.0011890685679260167,0.005149480367902291,0.0005149480367902291,0.0007219046407923408,-0.005933042323590931,-0.0022930186806993987,0.004517554920816255,0.00843161480583361,0.006810573601515654
bdb2023_sack,linear_structure,game_equal_p90_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.0023675694462844984,0.00629163248815077,0.000629163248815077,0.0018372785851851559,-0.004542979579439359,-0.0016847071714499355,0.006283179839089707,0.010257975293264571,0.007967887010539642
bdb2023_sack,relnet,game_equal_p90_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.0010878589999511043,0.00647830448076081,0.0006478304480760811,0.0003371634079123954,-0.00659827302848227,-0.003185716244109505,0.004570149346914231,0.010811741720000757,0.007755865591023736
bdb2023_sack,set_transformer,game_equal_p90_va_imprecision,20,60,value_at_largest_minus_value_at_20,100,0.001850747847972939,0.006215744710773519,0.0006215744710773519,0.0022182940822302894,-0.00658201547458826,-0.002367689140147526,0.006285765397810415,0.009229155014060901,0.008653454537957942
bdb2023_sack,attn_relnet,game_equal_rms_reliability,20,60,value_at_largest_minus_value_at_20,100,0.003297130617799711,0.01641771024611137,0.001641771024611137,0.0032435173022058936,-0.017706455764657722,-0.0064743164692250815,0.01404725417619665,0.021899336758592226,0.020521570645421733
bdb2023_sack,boosted_structure,game_equal_rms_reliability,20,60,value_at_largest_minus_value_at_20,100,0.0017107841007127334,0.016968662872157418,0.0016968662872157419,0.001142495574543545,-0.018803908075996252,-0.008494725586208462,0.013406654155449388,0.025718630980575093,0.021901379741657852
bdb2023_sack,linear_structure,game_equal_rms_reliability,20,60,value_at_largest_minus_value_at_20,100,0.0028877659802425404,0.013740899444832312,0.0013740899444832312,0.0020858930510634435,-0.013100517530522191,-0.00505473922499957,0.013237505315084282,0.020681433239377333,0.018292244540083852
bdb2023_sack,relnet,game_equal_rms_reliability,20,60,value_at_largest_minus_value_at_20,100,0.0027891944270692294,0.016024250650857594,0.0016024250650857595,0.0008368025647860072,-0.01446176299357383,-0.008475516055700169,0.012696342792133577,0.024409325630134135,0.021171858847833746
bdb2023_sack,set_transformer,game_equal_rms_reliability,20,60,value_at_largest_minus_value_at_20,100,0.005574032425404804,0.015708743353571857,0.0015708743353571857,0.008028823240334534,-0.017269083361769768,-0.006153373914325275,0.015692519034372198,0.025393496718336815,0.021845892948697473
bdb2023_sack,attn_relnet,game_equal_set_doubleton_rate,20,60,value_at_largest_minus_value_at_20,100,-0.009339045232967733,0.13137889279108675,0.013137889279108675,-0.014260379064797268,-0.15282132367639042,-0.09265192570733546,0.0779121027408424,0.15144682588496156,0.17056402844817786
bdb2023_sack,boosted_structure,game_equal_set_doubleton_rate,20,60,value_at_largest_minus_value_at_20,100,-0.0025044989664686403,0.12202631755845442,0.012202631755845442,-0.0014269165610513168,-0.1485199512020041,-0.10458907773347353,0.07302032564216265,0.1740899247031668,0.1776094033756362
bdb2023_sack,linear_structure,game_equal_set_doubleton_rate,20,60,value_at_largest_minus_value_at_20,100,-0.023294947433814075,0.10967610202174723,0.010967610202174722,-0.02438372459020538,-0.15186025713102816,-0.10734419090140616,0.05620780173952683,0.11993675328748728,0.163551992640933
bdb2023_sack,relnet,game_equal_set_doubleton_rate,20,60,value_at_largest_minus_value_at_20,100,-0.009002860374755416,0.1347024732663238,0.013470247326632382,-0.011774515339496028,-0.16694656845395633,-0.10119247468733147,0.08707256699357366,0.14523568240400817,0.18826504168090513
bdb2023_sack,set_transformer,game_equal_set_doubleton_rate,20,60,value_at_largest_minus_value_at_20,100,-0.018717625903910268,0.12152219636150162,0.012152219636150163,-0.019501179848338657,-0.16017146917414365,-0.10151400689874779,0.057870520477880105,0.12844414617449718,0.1593845273766279
bdb2023_sack,attn_relnet,game_equal_set_empty_rate,20,60,value_at_largest_minus_value_at_20,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bdb2023_sack,boosted_structure,game_equal_set_empty_rate,20,60,value_at_largest_minus_value_at_20,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
