task_id,model_left,model_right,metric,from_n_train,to_n_train,definition,repeats,difference_in_change_mean,difference_in_change_sd,difference_in_change_mcse,difference_in_change_median,difference_in_change_q10,difference_in_change_q25,difference_in_change_q75,difference_in_change_q90,difference_in_change_iqr,multiplicity_scope
bdb2023_sack,attn_relnet,set_transformer,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,attn_relnet,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,relnet,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,set_transformer,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,attn_relnet,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,boosted_structure,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,relnet,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,set_transformer,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,relnet,attn_relnet,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,relnet,set_transformer,game_equal_set_empty_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,attn_relnet,set_transformer,game_equal_set_singleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-0.00937858067094252,0.16391457960418912,0.016391457960418913,-0.012051055796434763,-0.22311715307125027,-0.0962240241908856,0.08745245841740831,0.19571279727571153,0.18367648260829392,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,attn_relnet,game_equal_set_singleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-0.006834546266499061,0.1680372617010497,0.01680372617010497,-0.007504689136460893,-0.2348615454475792,-0.09075511822439739,0.1296673938412303,0.19846833901621944,0.22042251206562768,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,relnet,game_equal_set_singleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-0.006498361408286731,0.17274890468265708,0.01727489046826571,-0.01102871708810646,-0.2273814806209917,-0.0966638145631717,0.1180178990407982,0.20419493613933898,0.2146817136039699,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,boosted_structure,set_transformer,game_equal_set_singleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,-0.01621312693744158,0.16480099867385378,0.016480099867385377,-0.03443195375426299,-0.22639758622287742,-0.1361771805116199,0.09684496398111506,0.19828420535842253,0.23302214449273495,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,attn_relnet,game_equal_set_singleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.01395590220084633,0.15115255949121023,0.015115255949121022,0.017383894190351315,-0.14700134454826358,-0.08893302528246007,0.09052397104850435,0.17861641128495126,0.1794569963309644,secondary_descriptive_not_in_primary_max_t_family
bdb2023_sack,linear_structure,boosted_structure,game_equal_set_singleton_rate,20,60,left_largest_minus_20_minus_right_largest_minus_20_within_repeat,100,0.02079044846734539,0.15027924756953465,0.015027924756953465,0.028067194791448893,-0.19006825371462416,-0.0801341015372412,0.11419808261768243,0.19296726480180068,0.19433218415492362,secondary_descriptive_not_in_primary_max_t_family
