task_id,metric,n_train,model_left,model_right,repeats,difference_mean,difference_sd,difference_q10,difference_q90,difference_mcse
bdb2023_sack,primary_loss,50,boosted_structure,attn_relnet,100,0.0012346983478745378,0.001027431593194962,0.00033413197081445665,0.0023258988450121374,0.0001027431593194962
bdb2023_sack,primary_loss,50,boosted_structure,set_transformer,100,0.0013262450666445737,0.0009939136102188454,6.3542399997819385e-06,0.002370592753118639,9.939136102188454e-05
bdb2023_sack,primary_loss,50,relnet,attn_relnet,100,-8.827869233119512e-06,5.208626697019727e-05,-4.337716594725871e-05,6.5178815480113116e-06,5.208626697019727e-06
bdb2023_sack,primary_loss,50,relnet,set_transformer,100,8.271884953691612e-05,0.001128479319098057,-0.0007228499113555837,0.0008731199694855923,0.0001128479319098057
bdb2023_sack,primary_loss,50,attn_relnet,set_transformer,100,9.154671877003563e-05,0.0011313712325889131,-0.0007241056611967042,0.0009180466910845898,0.00011313712325889132
bdb2023_sack,primary_loss,60,linear_structure,boosted_structure,100,-0.001392135149611705,0.0006902444165353006,-0.002206557551319941,-0.0006928316930101048,6.902444165353007e-05
bdb2023_sack,primary_loss,60,linear_structure,relnet,100,-0.0001082976564791207,0.0005312580335804863,-0.0007833407325639974,0.000598447565145298,5.3125803358048633e-05
bdb2023_sack,primary_loss,60,linear_structure,attn_relnet,100,-9.943062969154516e-05,0.0005266258312074321,-0.0007351140326285088,0.0006229788921249161,5.2662583120743205e-05
bdb2023_sack,primary_loss,60,linear_structure,set_transformer,100,-3.325606735256108e-05,0.0006939272409781383,-0.0007396252937990789,0.0007900649228075916,6.939272409781383e-05
bdb2023_sack,primary_loss,60,boosted_structure,relnet,100,0.0012838374931325846,0.0007071617912840463,0.0005184116170258983,0.0021418807943137485,7.071617912840463e-05
bdb2023_sack,primary_loss,60,boosted_structure,attn_relnet,100,0.00129270451992016,0.0007010085069200914,0.0005135921827864153,0.002141265789171859,7.010085069200914e-05
bdb2023_sack,primary_loss,60,boosted_structure,set_transformer,100,0.001358879082259144,0.0008248449953935681,0.0005566193514727154,0.0024110288539902235,8.248449953935681e-05
bdb2023_sack,primary_loss,60,relnet,attn_relnet,100,8.867026787575533e-06,8.257859427696669e-05,-1.8050185447555934e-05,8.289653143615101e-06,8.257859427696668e-06
bdb2023_sack,primary_loss,60,relnet,set_transformer,100,7.504158912655962e-05,0.0006584205182463525,-0.0006927878081811369,0.0008991905977817727,6.584205182463525e-05
bdb2023_sack,primary_loss,60,attn_relnet,set_transformer,100,6.617456233898409e-05,0.0006496086062603429,-0.0006801493931953082,0.0007847652755985121,6.496086062603429e-05
bdb2023_sack,game_equal_loss,10,linear_structure,boosted_structure,100,-0.002483461283929273,0.0011442323782555055,-0.0037192922959432746,-0.001348885050427487,0.00011442323782555055
bdb2023_sack,game_equal_loss,10,linear_structure,relnet,100,-0.00011345180931160117,0.0017057902640395793,-0.0016235144874945761,0.0014394627840675334,0.00017057902640395793
bdb2023_sack,game_equal_loss,10,linear_structure,attn_relnet,100,-0.00012998246176580116,0.0017283880587481966,-0.0016376116179142293,0.001424379944061868,0.00017283880587481965
bdb2023_sack,game_equal_loss,10,linear_structure,set_transformer,100,-0.0005941194070670548,0.0025605699513176865,-0.002703145705205845,0.0013319048324885573,0.00025605699513176866
bdb2023_sack,game_equal_loss,10,boosted_structure,relnet,100,0.0023700094746176713,0.0016608248091369063,0.0010164548965807172,0.003821130243045848,0.00016608248091369064
bdb2023_sack,game_equal_loss,10,boosted_structure,attn_relnet,100,0.002353478822163472,0.0016868499453266443,0.00101818911135593,0.0038194254960407727,0.00016868499453266442
bdb2023_sack,game_equal_loss,10,boosted_structure,set_transformer,100,0.0018893418768622177,0.002755458439606629,-0.0014808260845721067,0.003791826135543126,0.0002755458439606629
bdb2023_sack,game_equal_loss,10,relnet,attn_relnet,100,-1.653065245419999e-05,8.146373419219875e-05,-1.879205872951372e-05,5.534780581735468e-06,8.146373419219875e-06
bdb2023_sack,game_equal_loss,10,relnet,set_transformer,100,-0.00048066759775545364,0.002560107338976576,-0.0029537735710073315,0.0011742773611677422,0.0002560107338976576
bdb2023_sack,game_equal_loss,10,attn_relnet,set_transformer,100,-0.00046413694530125365,0.0025484840037031022,-0.002953361746710075,0.0011759450055264513,0.0002548484003703102
bdb2023_sack,game_equal_loss,20,linear_structure,boosted_structure,100,-0.002361996035893188,0.0011042214486410948,-0.0036118811396237474,-0.0011789173016794308,0.00011042214486410949
bdb2023_sack,game_equal_loss,20,linear_structure,relnet,100,-0.00019905645294916036,0.001221436809808128,-0.0012856801678536318,0.001010547506724295,0.0001221436809808128
bdb2023_sack,game_equal_loss,20,linear_structure,attn_relnet,100,-0.0005387033174529879,0.0037791536786035,-0.0012987330986805122,0.0010089690649496069,0.00037791536786035
bdb2023_sack,game_equal_loss,20,linear_structure,set_transformer,100,-0.001268264943058358,0.005332011590804594,-0.0023080510892619505,0.0006264004293294907,0.0005332011590804594
