task_id,branch,ablation_id,model,n_train,metric,repeats,mean,sd,q10,q90,inferential_family
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,mean_va_imprecision,20,0.0058981744070611165,0.0013721933822820212,0.004057002600277988,0.006920214996155719,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,mean_va_imprecision,20,0.008052939183345471,0.0024288654997388715,0.005860841387872119,0.009738670558561735,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,mean_va_imprecision,20,0.005826651214445748,0.0014107707762200862,0.003906027614531377,0.007096893942609363,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,mean_va_imprecision,20,0.008051868947095288,0.002243439851866695,0.0058464609743643795,0.009386786471187266,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,p90_va_imprecision,20,0.010033303044328515,0.005184365894617045,0.004136863846819352,0.01629351626634236,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,p90_va_imprecision,20,0.01634280626903651,0.0062261299364655045,0.009600042300712446,0.02234299516908213,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,p90_va_imprecision,20,0.009765074752244408,0.0049401042110143395,0.004402472527472526,0.015049075633718717,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,p90_va_imprecision,20,0.014902218481070009,0.00573740832142191,0.009642832948826204,0.019023339505279194,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,primary_loss,20,0.06109692758253983,0.005519339763929978,0.053559466401223735,0.0673586540786455,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,primary_loss,20,0.06065314493199882,0.005363317058715519,0.0531706811255843,0.0659548755778882,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,primary_loss,20,0.06108944663948883,0.005529572594642964,0.05357263435213728,0.0673727373478315,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,primary_loss,20,0.06070520174397794,0.005361843742170122,0.053169146835292815,0.06612142909825829,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,rms_reliability,20,0.020579975453475067,0.008531284977176992,0.011702283234454144,0.03267408808032568,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,rms_reliability,20,0.021986560651174485,0.008862491908560076,0.011583263453077672,0.03344215006755297,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,rms_reliability,20,0.02027741464899828,0.009246422024381345,0.011293019947194198,0.03395387509028418,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,rms_reliability,20,0.02165974141015398,0.008944658009392106,0.009672378495148765,0.031850092138775564,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,20,set_doubleton_rate,20,0.8062627111433169,0.0887820151465069,0.6701322068078822,0.9048974957582252,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,attn_relnet,60,set_doubleton_rate,20,0.7930873887922676,0.08097535558626291,0.6834663103698245,0.8836637296352937,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,20,set_doubleton_rate,20,0.8044717053688828,0.08462782930293196,0.6747657236888961,0.9030690064652329,secondary_descriptive_only
bdb2023_sack,structural_ablation,collapse_typed_edges,relnet,60,set_doubleton_rate,20,0.7919540176601136,0.07997597150033231,0.6724937760791052,0.8772278627189629,secondary_descriptive_only
