metric,model,n_train,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws,fixed_mean,tuned_mean,relative_change,significant_shift
mean_width_game_equal,set_transformer,20,tuned - fixed,50,1.196671217836663,1.8399319886051395,0.26020567721294874,0.6737683330360281,1.719574102637298,0.14310842651432565,2.2502340091590005,0.95,4.048961585338955,10000,17.167737726233923,18.364408944070586,0.06970465398059038,True
mean_width_inclusive_game_equal,set_transformer,20,tuned - fixed,50,1.1966712178366627,1.8399319886051395,0.26020567721294874,0.6737683330360279,1.7195741026372975,0.14310842651432543,2.250234009159,0.95,4.048961585338955,10000,18.167737726233923,19.364408944070586,0.0658679267539562,True
crps,zoo_cnn,20,tuned - fixed,50,-0.0004647685665170107,0.0008457953987379274,0.00011961353238879366,-0.0007051409589153033,-0.0002243961741187181,-0.0009490791642459332,1.954203121191174e-05,0.95,4.048961585338955,10000,0.01623186591528688,0.015767097348769868,-0.028633095476675915,False
coverage,zoo_cnn,20,tuned - fixed,50,-0.004015731447897912,0.019422052982870554,0.0027466930737504365,-0.00953541782564983,0.0015039549298540072,-0.015136986190230007,0.0071055232944341835,0.95,4.048961585338955,10000,0.9287978831615361,0.9247821517136381,-0.004323579457598202,False
mean_width,zoo_cnn,20,tuned - fixed,50,-1.723199814567604,7.371464020093185,1.042482439176108,-3.8181467067258135,0.37174707759060577,-5.944171164182119,2.497771535046912,0.95,4.048961585338955,10000,20.901086467731812,19.177886653164208,-0.0824454660396707,False
mean_width_inclusive,zoo_cnn,20,tuned - fixed,50,-1.7231998145676033,7.371464020093185,1.042482439176108,-3.818146706725813,0.37174707759060643,-5.944171164182119,2.4977715350469123,0.95,4.048961585338955,10000,21.901086467731812,20.177886653164208,-0.07868101964286098,False
mean_q,zoo_cnn,20,tuned - fixed,50,-0.06217176925222109,1.2714009100765282,0.1798032410243722,-0.4234999094956936,0.29915637099125136,-0.7901881850793455,0.6658446465749033,0.95,4.048961585338955,10000,2.4702746689493287,2.4081028996971074,-0.02516795805490907,False
crps_game_equal,zoo_cnn,20,tuned - fixed,50,-0.0004704455219106025,0.0008514402140569101,0.00012041182982691333,-0.0007124221530702966,-0.00022846889075090845,-0.000957988395300146,1.7097351478940993e-05,0.95,4.048961585338955,10000,0.016202491854089972,0.01573204633217937,-0.029035380862842318,False
coverage_game_equal,zoo_cnn,20,tuned - fixed,50,-0.003945058806077639,0.0194110105882376,0.002745131443325336,-0.00946160697000185,0.0015714893578465733,-0.015059990566808006,0.007169872954652728,0.95,4.048961585338955,10000,0.9289177748489386,0.924972716042861,-0.00424694080885597,False
mean_width_game_equal,zoo_cnn,20,tuned - fixed,50,-1.7171670250976894,7.370171163026931,1.0422996015763772,-3.8117464913435466,0.3774124411481681,-5.937398072294539,2.503064022099161,0.95,4.048961585338955,10000,20.918386444155576,19.201219419057885,-0.08208888528194543,False
mean_width_inclusive_game_equal,zoo_cnn,20,tuned - fixed,50,-1.7171670250976894,7.370171163026931,1.0422996015763772,-3.8117464913435466,0.3774124411481681,-5.937398072294539,2.503064022099161,0.95,4.048961585338955,10000,21.918386444155573,20.201219419057885,-0.07834367869517891,False
crps,lightgbm_multiclass,160,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,0.01361447037982172,0.01361447037982172,0.0,False
coverage,lightgbm_multiclass,160,tuned - fixed,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,4.048961585338955,10000,0.9137407585335504,0.9137407585335504,0.0,False
