repeat,model,n_train,metric,contrast,value
3,zoo_cnn,20,mean_width_inclusive,tuned - fixed,-2.9855542931342285
3,zoo_cnn,20,mean_q,tuned - fixed,-0.7607531244927772
3,zoo_cnn,20,crps_game_equal,tuned - fixed,-0.0007719750326209383
3,zoo_cnn,20,coverage_game_equal,tuned - fixed,-0.008306932148173352
3,zoo_cnn,20,mean_width_game_equal,tuned - fixed,-2.9842935526676904
3,zoo_cnn,20,mean_width_inclusive_game_equal,tuned - fixed,-2.9842935526676904
3,lightgbm_multiclass,160,crps,tuned - fixed,0.0
3,lightgbm_multiclass,160,coverage,tuned - fixed,0.0
3,lightgbm_multiclass,160,mean_width,tuned - fixed,0.0
3,lightgbm_multiclass,160,mean_width_inclusive,tuned - fixed,0.0
3,lightgbm_multiclass,160,mean_q,tuned - fixed,0.0
3,lightgbm_multiclass,160,crps_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,160,coverage_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,160,mean_width_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,160,mean_width_inclusive_game_equal,tuned - fixed,0.0
3,ridge_sgd_l2,160,crps,tuned - fixed,-0.00032488928945362434
3,ridge_sgd_l2,160,coverage,tuned - fixed,-0.012497971108586192
3,ridge_sgd_l2,160,mean_width,tuned - fixed,-3.0968998539198154
3,ridge_sgd_l2,160,mean_width_inclusive,tuned - fixed,-3.0968998539198154
3,ridge_sgd_l2,160,mean_q,tuned - fixed,-0.09884758967700052
3,ridge_sgd_l2,160,crps_game_equal,tuned - fixed,-0.000320416626869581
3,ridge_sgd_l2,160,coverage_game_equal,tuned - fixed,-0.012574220693938987
3,ridge_sgd_l2,160,mean_width_game_equal,tuned - fixed,-3.0750447809961727
3,ridge_sgd_l2,160,mean_width_inclusive_game_equal,tuned - fixed,-3.0750447809961727
3,set_transformer,160,crps,tuned - fixed,1.2901009399657326e-08
3,set_transformer,160,coverage,tuned - fixed,0.00048693393929555295
3,set_transformer,160,mean_width,tuned - fixed,0.011199480603798051
3,set_transformer,160,mean_width_inclusive,tuned - fixed,0.011199480603799827
3,set_transformer,160,mean_q,tuned - fixed,0.005356273332251263
3,set_transformer,160,crps_game_equal,tuned - fixed,2.0712875145947884e-08
3,set_transformer,160,coverage_game_equal,tuned - fixed,0.0004426442116810536
3,set_transformer,160,mean_width_game_equal,tuned - fixed,0.01108407446925419
3,set_transformer,160,mean_width_inclusive_game_equal,tuned - fixed,0.011084074469248861
3,zoo_cnn,160,crps,tuned - fixed,-2.4005630504253528e-09
3,zoo_cnn,160,coverage,tuned - fixed,0.0
3,zoo_cnn,160,mean_width,tuned - fixed,0.0
3,zoo_cnn,160,mean_width_inclusive,tuned - fixed,0.0
3,zoo_cnn,160,mean_q,tuned - fixed,0.0
3,zoo_cnn,160,crps_game_equal,tuned - fixed,-2.0503716259556715e-09
3,zoo_cnn,160,coverage_game_equal,tuned - fixed,0.0
3,zoo_cnn,160,mean_width_game_equal,tuned - fixed,0.0
3,zoo_cnn,160,mean_width_inclusive_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,360,crps,tuned - fixed,0.0
3,lightgbm_multiclass,360,coverage,tuned - fixed,0.0
3,lightgbm_multiclass,360,mean_width,tuned - fixed,0.0
3,lightgbm_multiclass,360,mean_width_inclusive,tuned - fixed,0.0
3,lightgbm_multiclass,360,mean_q,tuned - fixed,0.0
3,lightgbm_multiclass,360,crps_game_equal,tuned - fixed,0.0
3,lightgbm_multiclass,360,coverage_game_equal,tuned - fixed,0.0
