task_id,metric,n_train,model,mean_coverage,standard_error,simultaneous_lower,target_coverage,coverage_controlled,confidence_level,sidedness,max_t_critical,bootstrap_draws,bootstrap_unit,bootstrap_index_sha256,family_members
bdb2020_rushing_harmonized,coverage,80,attn_relnet,0.9201820439605914,0.0022684043280378806,0.9144797002914269,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,160,attn_relnet,0.9225630458040289,0.002111725821248303,0.9172545625592352,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,240,attn_relnet,0.9255089043183579,0.002060866586256577,0.9203282716657575,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,360,attn_relnet,0.9225662262098201,0.0020540701532132397,0.9174026785171003,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,20,set_transformer,0.9174064056303434,0.00222795948779334,0.9118057327153156,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,40,set_transformer,0.9187253191499672,0.0020944256309350087,0.9134603253437578,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,80,set_transformer,0.9175845340014539,0.0024627427008263895,0.9113936600574838,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,160,set_transformer,0.9223713928411037,0.002223889923282106,0.9167809500491365,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,240,set_transformer,0.9190589490859378,0.002402652470755555,0.9130191307270712,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
bdb2020_rushing_harmonized,coverage,360,set_transformer,0.9208821286736945,0.0024457157832033483,0.914734057211942,0.9,True,0.9,one_sided_lower,2.5138127267183417,10000,complete_repeat_5x6_vector,44b259cde98049d40866fb4f6daff7797b4de886b8c9f77ffd58af7231c7bde6,30
