metric,base_metric,aggregation,model,n_train,n_repeats,sd,bootstrap_lower,bootstrap_upper,bca_bias_correction,bca_acceleration,confidence,bootstrap_draws,interval_method
mean_width_inclusive,mean_width_inclusive,play,zoo_cnn,240,100,0.9286218567445189,0.8066761694659138,1.1176797279522535,0.142354500038514,0.06326327939822675,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,zoo_cnn,360,100,1.2012739971234454,0.9709784548817878,1.633190790120967,0.14286094942554084,0.10932711729579399,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,set_transformer,20,100,1.508682253173605,1.3204520006880407,1.7524676891213458,0.0906131282680229,0.04941234460315446,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,set_transformer,40,100,0.8580895792006102,0.7287986141764956,1.0595750737371408,0.12086243060603684,0.07769784964751501,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,set_transformer,80,100,0.683617581637147,0.5989806967445045,0.795160792860951,0.11530925861782557,0.04304878543322468,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,set_transformer,160,100,0.7827129113320674,0.6863109433945759,0.9048909593760112,0.11127283013139141,0.038552405634350216,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,set_transformer,240,100,0.6939471248352957,0.6165240167312788,0.7969552622657392,0.1052215641319016,0.04158260321964142,0.95,10000,bca_repeat_block
mean_width_inclusive,mean_width_inclusive,play,set_transformer,360,100,0.7666585784700626,0.6846535327273714,0.8771132897643386,0.11379538129883492,0.03310687020751646,0.95,10000,bca_repeat_block
mean_q,mean_q,play,ridge_sgd_l2,20,100,0.16930714897489474,0.14846860394982722,0.1938856057802234,0.08759320883174784,0.03862833757711031,0.95,10000,bca_repeat_block
mean_q,mean_q,play,ridge_sgd_l2,40,100,0.13612754755157586,0.12075176292823825,0.15753642200709989,0.12263012270251442,0.04638226242572018,0.95,10000,bca_repeat_block
mean_q,mean_q,play,ridge_sgd_l2,80,100,0.1140636687695021,0.09731110601779953,0.13894409649760756,0.11303854064456521,0.06584659860991007,0.95,10000,bca_repeat_block
mean_q,mean_q,play,ridge_sgd_l2,160,100,0.10623258652692424,0.09094173711558524,0.13159338474239857,0.11808538942555302,0.08154737731082129,0.95,10000,bca_repeat_block
mean_q,mean_q,play,ridge_sgd_l2,240,100,0.09056198582541149,0.07745355046506856,0.11721105689242464,0.14083537039712735,0.10223041836018726,0.95,10000,bca_repeat_block
mean_q,mean_q,play,ridge_sgd_l2,360,100,0.08797879936562455,0.07654245970181514,0.10761700918614063,0.12919923691977347,0.07463475921105828,0.95,10000,bca_repeat_block
mean_q,mean_q,play,lightgbm_multiclass,20,100,0.26244347452145894,0.23114715505857825,0.3037501195573929,0.1165710248062833,0.0413744815618895,0.95,10000,bca_repeat_block
mean_q,mean_q,play,lightgbm_multiclass,40,100,0.21522546207034196,0.18831140702257237,0.25092713993769544,0.10370935811965017,0.040377990686983174,0.95,10000,bca_repeat_block
mean_q,mean_q,play,lightgbm_multiclass,80,100,0.1916982873038323,0.16970393106606244,0.2241116043429203,0.11076840536730806,0.05758753314276476,0.95,10000,bca_repeat_block
mean_q,mean_q,play,lightgbm_multiclass,160,100,0.18211850602684698,0.15985500639715639,0.2131279277332429,0.10723821377940601,0.04697540312788217,0.95,10000,bca_repeat_block
mean_q,mean_q,play,lightgbm_multiclass,240,100,0.1563396286986259,0.13628585061083662,0.18426163908281767,0.11455228714160764,0.04553305436621096,0.95,10000,bca_repeat_block
mean_q,mean_q,play,lightgbm_multiclass,360,100,0.1404330358799215,0.12271121926389741,0.16357913789022743,0.09489276913113849,0.04386585517407114,0.95,10000,bca_repeat_block
mean_q,mean_q,play,zoo_cnn,20,100,1.4365056109810614,1.2854687009360741,1.6033125264612715,0.09262686539181775,0.01898369270935891,0.95,10000,bca_repeat_block
