metric,base_metric,aggregation,n_train,model_a,model_a_display_name,model_b,model_b_display_name,mean_width_a,mean_width_b,width_mean_difference_a_minus_b,width_simultaneous_lower,width_simultaneous_upper,coverage_metric,coverage_target,coverage_lcb_a,coverage_lcb_b,coverage_qualified_a,coverage_qualified_b,both_coverage_qualified,sharper_model,sharper_model_display_name,sharper_at_controlled_coverage,sharpness_status
mean_width_inclusive,mean_width_inclusive,play,80,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,22.68481441179462,15.28641888533497,7.398395526459645,7.175745938898368,7.621045114020921,coverage,0.9,0.9365746162015222,0.9121594650167718,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,80,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,22.68481441179462,17.60142241016105,5.083392001633561,4.518583936091795,5.648200067175327,coverage,0.9,0.9365746162015222,0.9179640798958489,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,80,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,22.68481441179462,16.296277432941135,6.388536978853479,6.086892543636917,6.690181414070042,coverage,0.9,0.9365746162015222,0.9188164748591268,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,80,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,15.28641888533497,17.60142241016105,-2.3150035248260847,-2.847197286768614,-1.7828097628835553,coverage,0.9,0.9121594650167718,0.9179640798958489,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,80,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,15.28641888533497,16.296277432941135,-1.0098585476061657,-1.2839258907501196,-0.7357912044622117,coverage,0.9,0.9121594650167718,0.9188164748591268,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_inclusive,mean_width_inclusive,play,80,zoo_cnn,Zoo CNN,set_transformer,Set Transformer,17.60142241016105,16.296277432941135,1.305144977219918,0.7256523225728355,1.8846376318670004,coverage,0.9,0.9179640798958489,0.9188164748591268,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,80,ridge_sgd_l2,L2 one-vs-rest logistic,lightgbm_multiclass,LightGBM,21.62954825091668,14.306110075079564,7.32343817583712,7.10115893009644,7.545717421577801,coverage_game_equal,0.9,0.936236178213115,0.9126102588474863,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,80,ridge_sgd_l2,L2 one-vs-rest logistic,zoo_cnn,Zoo CNN,21.62954825091668,16.629855406932972,4.9996928439837145,4.433058098374638,5.566327589592791,coverage_game_equal,0.9,0.936236178213115,0.918129734130231,True,True,True,zoo_cnn,Zoo CNN,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,80,ridge_sgd_l2,L2 one-vs-rest logistic,set_transformer,Set Transformer,21.62954825091668,15.308209900337303,6.321338350579383,6.019110128857489,6.623566572301278,coverage_game_equal,0.9,0.936236178213115,0.9188305008287586,True,True,True,set_transformer,Set Transformer,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,80,lightgbm_multiclass,LightGBM,zoo_cnn,Zoo CNN,14.306110075079564,16.629855406932972,-2.3237453318534067,-2.857750173567951,-1.7897404901388625,coverage_game_equal,0.9,0.9126102588474863,0.918129734130231,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
mean_width_game_equal,mean_width,game_equal,80,lightgbm_multiclass,LightGBM,set_transformer,Set Transformer,14.306110075079564,15.308209900337303,-1.0020998252577382,-1.2759245430601642,-0.7282751074553122,coverage_game_equal,0.9,0.9126102588474863,0.9188305008287586,True,True,True,lightgbm_multiclass,LightGBM,True,sharper_at_controlled_coverage
