metric,n_train,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps_game_equal,80,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,-3.3807436518925107e-06,0.0005469486841686804,5.469486841686804e-05,-0.00011190722872517894,0.00010514574142139394,-0.00021822684292047002,0.00021146535561668498,0.95,3.9280851291401664,10000
crps_game_equal,80,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.0009177053601096038,0.0001165021671580907,1.1650216715809071e-05,0.0008945888026133457,0.000940821917605862,0.000871942317076974,0.0009634684031422337,0.95,3.9280851291401664,10000
crps_game_equal,80,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.0004139077281349329,0.0005301753202536896,5.301753202536896e-05,-0.0005191060139068244,-0.0003087094423630414,-0.0006221651072674972,-0.00020565034900236857,0.95,3.9280851291401664,10000
crps_game_equal,80,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,0.0005071783756265634,0.00012447379594711423,1.2447379594711424e-05,0.0004824800740328738,0.0005318766772202531,0.00045828400894381476,0.0005560727423093121,0.95,3.9280851291401664,10000
crps_game_equal,80,zoo_cnn,set_transformer,zoo_cnn - set_transformer,100,0.0009210861037614966,0.0005456076999756166,5.4560769997561655e-05,0.0008128256990449684,0.0010293465084780249,0.0007067667544996376,0.0011354054530233555,0.95,3.9280851291401664,10000
coverage_game_equal,80,ridge_sgd_l2,lightgbm_multiclass,ridge_sgd_l2 - lightgbm_multiclass,100,0.023326543159232757,0.004729314696910759,0.0004729314696910759,0.02238814452016981,0.024264941798295706,0.02146882808603684,0.025184258232428675,0.95,3.9280851291401664,10000
coverage_game_equal,80,ridge_sgd_l2,zoo_cnn,ridge_sgd_l2 - zoo_cnn,100,0.01732809749326429,0.006844465779446675,0.0006844465779446675,0.015970006990904374,0.018686187995624208,0.014639533068748966,0.020016661917779614,0.95,3.9280851291401664,10000
coverage_game_equal,80,ridge_sgd_l2,set_transformer,ridge_sgd_l2 - set_transformer,100,0.016688024115236587,0.006639545464864963,0.0006639545464864963,0.01537059424906682,0.018005453981406353,0.014079954134757978,0.019296094095715196,0.95,3.9280851291401664,10000
coverage_game_equal,80,lightgbm_multiclass,zoo_cnn,lightgbm_multiclass - zoo_cnn,100,-0.005998445665968469,0.007101416529420643,0.0007101416529420643,-0.0074075207717085095,-0.004589370560228429,-0.00878794253247321,-0.0032089487994637297,0.95,3.9280851291401664,10000
coverage_game_equal,80,lightgbm_multiclass,set_transformer,lightgbm_multiclass - set_transformer,100,-0.006638519043996167,0.007668096329325263,0.0007668096329325263,-0.008160035716241036,-0.005117002371751297,-0.009650612559999853,-0.003626425527992481,0.95,3.9280851291401664,10000
