model,model_display_name,n_train,metric,base_metric,aggregation,n_repeats,mean,sd,mcse,median,iqr,q10,q90
ridge_sgd_l2,L2 one-vs-rest logistic,80,mean_width,mean_width,play,100,21.68481441179462,0.5322621924046907,0.05322621924046907,21.696568976949585,0.6710895810450701,20.98921680149899,22.38708685906645
ridge_sgd_l2,L2 one-vs-rest logistic,80,mean_width_inclusive,mean_width_inclusive,play,100,22.68481441179462,0.5322621924046907,0.05322621924046907,22.696568976949585,0.6710895810450701,21.98921680149899,23.38708685906645
ridge_sgd_l2,L2 one-vs-rest logistic,80,mean_q,mean_q,play,100,0.34189503018515066,0.11406366876950207,0.011406366876950206,0.3402958351798875,0.14975104843625875,0.20148465282048755,0.45661766555265865
ridge_sgd_l2,L2 one-vs-rest logistic,80,crps_game_equal,crps,game_equal,100,0.014198001443239783,0.0002505414850750246,2.505414850750246e-05,0.014162836814419866,0.00036701266427229505,0.013885137400852517,0.014517358309826506
ridge_sgd_l2,L2 one-vs-rest logistic,80,coverage_game_equal,coverage,game_equal,100,0.9375183831781286,0.004626047678788515,0.0004626047678788515,0.9381040560057314,0.005594581794580167,0.9313386656953733,0.9432118753122893
ridge_sgd_l2,L2 one-vs-rest logistic,80,mean_width_game_equal,mean_width,game_equal,100,21.62954825091668,0.5311077092598272,0.05311077092598272,21.649580361092788,0.6645666100522796,20.959987258350218,22.3568405823698
ridge_sgd_l2,L2 one-vs-rest logistic,80,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,22.62954825091668,0.531107709259827,0.053110770925982695,22.649580361092788,0.6645666100522796,21.959987258350218,23.356840582369795
ridge_sgd_l2,L2 one-vs-rest logistic,160,crps,crps,play,100,0.014229647511731834,0.00025300364934497624,2.5300364934497624e-05,0.01421759437501433,0.00034918698917975506,0.01390560879831438,0.014533535335207796
ridge_sgd_l2,L2 one-vs-rest logistic,160,coverage,coverage,play,100,0.9376659637802365,0.0045861115300537,0.00045861115300537003,0.937787271373411,0.006093260284586344,0.9313503148889828,0.9430625191101222
ridge_sgd_l2,L2 one-vs-rest logistic,160,mean_width,mean_width,play,100,21.648846684907923,0.42603591953136055,0.04260359195313605,21.681773483931018,0.5438531356928031,21.114111771566794,22.139064307960613
ridge_sgd_l2,L2 one-vs-rest logistic,160,mean_width_inclusive,mean_width_inclusive,play,100,22.648846684907923,0.42603591953136055,0.04260359195313605,22.681773483931018,0.5438531356928031,22.114111771566794,23.139064307960613
ridge_sgd_l2,L2 one-vs-rest logistic,160,mean_q,mean_q,play,100,0.31659258717284156,0.10623258652692424,0.010623258652692424,0.30027864862211595,0.14419375954864655,0.19261244864485585,0.448015345108305
ridge_sgd_l2,L2 one-vs-rest logistic,160,crps_game_equal,crps,game_equal,100,0.014188845357441648,0.0002511939441892604,2.511939441892604e-05,0.014167084518937783,0.000356156277348689,0.013854027673405078,0.014525001561875205
ridge_sgd_l2,L2 one-vs-rest logistic,160,coverage_game_equal,coverage,game_equal,100,0.9373584341726701,0.00467928048247083,0.000467928048247083,0.9377004660625743,0.006594067597293862,0.9312556083022625,0.9427478272267085
ridge_sgd_l2,L2 one-vs-rest logistic,160,mean_width_game_equal,mean_width,game_equal,100,21.59380991487308,0.4246686208353155,0.04246686208353155,21.627396224587237,0.5588454607562952,21.064954326322205,22.06870218020082
ridge_sgd_l2,L2 one-vs-rest logistic,160,mean_width_inclusive_game_equal,mean_width_inclusive,game_equal,100,22.59380991487308,0.42466862083531554,0.04246686208353155,22.627396224587237,0.5588454607562952,22.064954326322205,23.06870218020082
ridge_sgd_l2,L2 one-vs-rest logistic,240,crps,crps,play,100,0.014226722964271575,0.00025124349100781596,2.5124349100781596e-05,0.014214174745823807,0.0003663936544396791,0.013918463719476845,0.014540297683696673
ridge_sgd_l2,L2 one-vs-rest logistic,240,coverage,coverage,play,100,0.937388544322925,0.0043630431545589226,0.00043630431545589225,0.937836587730057,0.005805729308867691,0.9307224856056178,0.9424636656824218
