metric,model_a,model_b,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
crps_game_equal,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,0.0004883765390133191,0.00023513456364062453,2.3513456364062453e-05,0.0004417207403071867,0.0005350323377194515,0.00041537407837684254,0.0005613789996497956,0.95,3.1047098948860716,10000
crps_game_equal,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-0.0019776316542765497,0.0012573143597923231,0.0001257314359792323,-0.002227110100884071,-0.0017281532076690283,-0.0023679912876595067,-0.0015872720208935924,0.95,3.1047098948860716,10000
coverage_game_equal,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,-0.0002019633953221689,0.0064054184737833515,0.0006405418473783351,-0.001472937387040949,0.0010690105963966111,-0.00219066000696629,0.001786733216321952,0.95,3.1047098948860716,10000
coverage_game_equal,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,0.008961586979474858,0.023117446162635693,0.0023117446162635694,0.004374584124325748,0.013548589834623967,0.0017842905949117492,0.016138883364037966,0.95,3.1047098948860716,10000
coverage_game_equal,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,-0.0009204910760368634,0.011799160420154832,0.0011799160420154831,-0.003261700487961016,0.0014207183358872894,-0.004583788086817144,0.002742805934743417,0.95,3.1047098948860716,10000
coverage_game_equal,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,0.009163550374797026,0.022214371432353615,0.0022214371432353617,0.0047557371384784,0.013571363611115652,0.002266632495326751,0.016060468254267303,0.95,3.1047098948860716,10000
coverage_game_equal,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,-0.0007185276807146945,0.01225226256867949,0.001225226256867949,-0.0031496423890256106,0.0017125870275962218,-0.004522499763886839,0.0030854444024574507,0.95,3.1047098948860716,10000
coverage_game_equal,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-0.009882078055511721,0.024162478908991838,0.0024162478908991837,-0.014676438079680984,-0.005087718031342459,-0.017383826790884016,-0.002380329320139424,0.95,3.1047098948860716,10000
mean_width_game_equal,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,2.295774499235399,0.666618895280456,0.06666188952804561,2.163502848014252,2.428046150456546,2.0888086712058738,2.5027403272649242,0.95,3.1047098948860716,10000
mean_width_game_equal,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,6.401448202127292,8.356611364439543,0.8356611364439542,4.743315209478188,8.059581194776396,3.8069628030380076,8.995933601216576,0.95,3.1047098948860716,10000
mean_width_game_equal,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,2.475798697011479,1.4893798578648476,0.14893798578648476,2.1802734208903765,2.7713239731325814,2.0133894588157784,2.9382079352071795,0.95,3.1047098948860716,10000
mean_width_game_equal,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,4.105673702891893,8.195458878778867,0.8195458878778867,2.479516859625355,5.73183054615843,1.5612214754842264,6.650125930299559,0.95,3.1047098948860716,10000
mean_width_game_equal,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,0.1800241977760792,1.3999213331608023,0.13999213331608024,-0.09775056622755063,0.457798961779709,-0.2546107637365652,0.6146591592887236,0.95,3.1047098948860716,10000
mean_width_game_equal,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-3.9256495051158122,8.205706649176115,0.8205706649176114,-5.553839728356088,-2.297459281875536,-6.473283367938763,-1.378015642292861,0.95,3.1047098948860716,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,lightgbm_multiclass,change(ridge_sgd_l2) - change(lightgbm_multiclass),100,2.2957744992354,0.6666188952804557,0.06666188952804557,2.163502848014253,2.428046150456547,2.0888086712058747,2.502740327264925,0.95,3.1047098948860716,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,zoo_cnn,change(ridge_sgd_l2) - change(zoo_cnn),100,6.401448202127292,8.356611364439544,0.8356611364439545,4.743315209478188,8.059581194776397,3.806962803038007,8.995933601216578,0.95,3.1047098948860716,10000
mean_width_inclusive_game_equal,ridge_sgd_l2,set_transformer,change(ridge_sgd_l2) - change(set_transformer),100,2.4757986970114785,1.4893798578648476,0.14893798578648476,2.180273420890376,2.771323973132581,2.0133894588157784,2.9382079352071786,0.95,3.1047098948860716,10000
mean_width_inclusive_game_equal,lightgbm_multiclass,zoo_cnn,change(lightgbm_multiclass) - change(zoo_cnn),100,4.105673702891891,8.195458878778867,0.8195458878778867,2.4795168596253534,5.731830546158428,1.5612214754842246,6.6501259302995575,0.95,3.1047098948860716,10000
mean_width_inclusive_game_equal,lightgbm_multiclass,set_transformer,change(lightgbm_multiclass) - change(set_transformer),100,0.18002419777607875,1.399921333160802,0.1399921333160802,-0.09775056622755102,0.4577989617797085,-0.25461076373656555,0.6146591592887231,0.95,3.1047098948860716,10000
mean_width_inclusive_game_equal,zoo_cnn,set_transformer,change(zoo_cnn) - change(set_transformer),100,-3.9256495051158122,8.205706649176115,0.8205706649176114,-5.553839728356088,-2.297459281875536,-6.473283367938763,-1.378015642292861,0.95,3.1047098948860716,10000
