metric,model,size_from,size_to,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
mean_width,zoo_cnn,40,80,80 - 40,100,-1.4890182492133217,3.6674353216804447,0.36674353216804445,-2.216716982597325,-0.761319515829318,-2.8039178616204348,-0.17411863680620887,0.95,3.5853382461414935,10000
mean_width,zoo_cnn,80,160,160 - 80,100,-1.6550573585105306,1.8102471845172408,0.18102471845172408,-2.014249673504528,-1.295865043516533,-2.3040922050724926,-1.0060225119485686,0.95,3.5853382461414935,10000
mean_width,zoo_cnn,160,240,240 - 160,100,-0.4121963216254329,1.5481789852915042,0.15481789852915043,-0.7193886202839244,-0.10500402296694145,-0.9672708544092488,0.142878211158383,0.95,3.5853382461414935,10000
mean_width,zoo_cnn,240,360,360 - 240,100,-0.42318222662100424,1.5725811896272304,0.15725811896272304,-0.7352164520292084,-0.11114800121280016,-0.9870057750543241,0.1406413218123156,0.95,3.5853382461414935,10000
mean_width_inclusive,zoo_cnn,20,40,40 - 20,100,-2.550664381044524,8.64372472506071,0.8643724725060711,-4.265766893408543,-0.8355618686805051,-5.649732065632428,0.5484033035433789,0.95,3.5853382461414935,10000
mean_width_inclusive,zoo_cnn,40,80,80 - 40,100,-1.4890182492133213,3.667435321680445,0.3667435321680445,-2.216716982597325,-0.7613195158293175,-2.8039178616204343,-0.1741186368062082,0.95,3.5853382461414935,10000
mean_width_inclusive,zoo_cnn,80,160,160 - 80,100,-1.6550573585105313,1.810247184517241,0.1810247184517241,-2.014249673504529,-1.2958650435165338,-2.3040922050724935,-1.006022511948569,0.95,3.5853382461414935,10000
mean_width_inclusive,zoo_cnn,160,240,240 - 160,100,-0.4121963216254328,1.5481789852915047,0.15481789852915046,-0.7193886202839244,-0.10500402296694128,-0.9672708544092488,0.14287821115838323,0.95,3.5853382461414935,10000
mean_width_inclusive,zoo_cnn,240,360,360 - 240,100,-0.42318222662100424,1.5725811896272301,0.15725811896272301,-0.7352164520292083,-0.11114800121280022,-0.987005775054324,0.14064132181231548,0.95,3.5853382461414935,10000
mean_q,zoo_cnn,20,40,40 - 20,100,-0.8445530360653736,1.5874378059478451,0.1587437805947845,-1.1595351364681201,-0.529570935662627,-1.4137031839689485,-0.2754028881617988,0.95,3.5853382461414935,10000
mean_q,zoo_cnn,40,80,80 - 40,100,-0.9626942672331595,0.8714255979803582,0.08714255979803583,-1.1356040115822812,-0.7897845228840378,-1.2751298197437295,-0.6502587147225896,0.95,3.5853382461414935,10000
mean_q,zoo_cnn,80,160,160 - 80,100,-0.2570339229315434,0.6180858809166926,0.06180858809166926,-0.37967557117185124,-0.13439227469123557,-0.4786386177566109,-0.035429228106475946,0.95,3.5853382461414935,10000
mean_q,zoo_cnn,160,240,240 - 160,100,-0.13297001957298374,0.5120179211793106,0.05120179211793106,-0.2345654834410062,-0.03137455570496128,-0.31654576312438804,0.05060572397842056,0.95,3.5853382461414935,10000
mean_q,zoo_cnn,240,360,360 - 240,100,-0.04907761690556663,0.577818088962225,0.057781808896222496,-0.1637292616062865,0.06557402779515326,-0.25624494627243194,0.15808971246129866,0.95,3.5853382461414935,10000
crps_game_equal,zoo_cnn,20,40,40 - 20,100,-0.0010559097022526463,0.0012874917030452795,0.00012874917030452796,-0.0013113759884635688,-0.0008004434160417236,-0.001517519026704455,-0.0005943003778008376,0.95,3.5853382461414935,10000
