metric,model,size_from,size_to,contrast,n_repeats,mean,sd,mcse,pointwise_lower,pointwise_upper,simultaneous_lower,simultaneous_upper,confidence,max_t_critical,bootstrap_draws
mean_width_game_equal,lightgbm_multiclass,160,240,240 - 160,100,-0.16703335529262425,0.18945486815023616,0.018945486815023616,-0.20462531138557835,-0.12944139919967015,-0.23495933376229783,-0.09910737682295069,0.95,3.5853382461414935,10000
mean_width_game_equal,lightgbm_multiclass,240,360,360 - 240,100,-0.05173997161176391,0.188104491757753,0.0188104491757753,-0.08906398373182979,-0.014415959491698035,-0.11918179446877183,0.01570185124524401,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,lightgbm_multiclass,20,40,40 - 20,100,-1.0366198795564143,0.49129490662411585,0.04912949066241158,-1.134103447747759,-0.9391363113650697,-1.21276572144181,-0.8604740376710187,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,lightgbm_multiclass,40,80,80 - 40,100,-0.7369193527265324,0.3568271715368758,0.03568271715368758,-0.807721604978769,-0.6661171004742958,-0.8648539632638976,-0.6089847421891672,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,lightgbm_multiclass,80,160,160 - 80,100,-0.42002742443617724,0.28680147334585326,0.028680147334585328,-0.476935058949228,-0.3631197899231265,-0.5228554535798391,-0.31719939529251545,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,lightgbm_multiclass,160,240,240 - 160,100,-0.16703335529262453,0.18945486815023635,0.018945486815023636,-0.20462531138557866,-0.1294413991996704,-0.23495933376229816,-0.0991073768229509,0.95,3.5853382461414935,10000
mean_width_inclusive_game_equal,lightgbm_multiclass,240,360,360 - 240,100,-0.051739971611763774,0.1881044917577529,0.01881044917577529,-0.08906398373182964,-0.014415959491697918,-0.11918179446877165,0.015701851245244106,0.95,3.5853382461414935,10000
crps,zoo_cnn,20,40,40 - 20,100,-0.0010599164012129176,0.0012754860474692698,0.00012754860474692697,-0.001313000504893051,-0.0008068322975327844,-0.0015172212920540593,-0.000602611510371776,0.95,3.5853382461414935,10000
crps,zoo_cnn,40,80,80 - 40,100,-0.0009974681679921645,0.0009339723666353858,9.339723666353858e-05,-0.001182788548204026,-0.0008121477877803031,-0.0013323288526858779,-0.0006626074832984511,0.95,3.5853382461414935,10000
crps,zoo_cnn,80,160,160 - 80,100,-0.0007260457481609518,0.0006619353345647587,6.619353345647587e-05,-0.0008573880793255485,-0.0005947034169963552,-0.0009633719553097013,-0.0004887195410122024,0.95,3.5853382461414935,10000
crps,zoo_cnn,160,240,240 - 160,100,-0.00040015199734816793,0.0005562953811816067,5.562953811816067e-05,-0.0005105330698868208,-0.0002897709248095151,-0.0005996027079783955,-0.0002007012867179404,0.95,3.5853382461414935,10000
crps,zoo_cnn,240,360,360 - 240,100,-0.00015909398986521856,0.0004799212058519631,4.799212058519631e-05,-0.0002543207690692139,-6.386721066122324e-05,-0.0003311619753127574,1.2973995582320251e-05,0.95,3.5853382461414935,10000
coverage,zoo_cnn,20,40,40 - 20,100,-0.006059540457133785,0.023054045408022562,0.0023054045408022563,-0.010633963227078713,-0.0014851176871888572,-0.014325195530100383,0.0022061146158328113,0.95,3.5853382461414935,10000
coverage,zoo_cnn,40,80,80 - 40,100,-0.0018461801353955075,0.01330800487715878,0.001330800487715878,-0.004486777022197375,0.0007944167514063599,-0.006617550021986997,0.002925189751195982,0.95,3.5853382461414935,10000
coverage,zoo_cnn,80,160,160 - 80,100,-0.0019908918624059646,0.009509649216060996,0.0009509649216060996,-0.0038778125801469127,-0.0001039711446650163,-0.00540042276657926,0.0014186390417673315,0.95,3.5853382461414935,10000
coverage,zoo_cnn,160,240,240 - 160,100,0.0008160617435028727,0.008756934531577673,0.0008756934531577674,-0.0009215040505779439,0.0025536275375836895,-0.0023235954859993847,0.00395571897300513,0.95,3.5853382461414935,10000
coverage,zoo_cnn,240,360,360 - 240,100,-0.0001667219582287105,0.008769053023644434,0.0008769053023644435,-0.001906692324048086,0.0015732484075906652,-0.0033107240770402207,0.0029772801605827993,0.95,3.5853382461414935,10000
mean_width,zoo_cnn,20,40,40 - 20,100,-2.550664381044524,8.64372472506071,0.8643724725060711,-4.265766893408543,-0.8355618686805051,-5.649732065632428,0.5484033035433789,0.95,3.5853382461414935,10000
